Conductivity,pH,Turbidity
440.0,7.8,21.7
500.0,8.5,16.9
180.0,7.3,295.0
390.0,8.1,28.1
480.0,8.4,29.7
590.0,8.4,21.8
173.0,7.7,56.4
158.0,7.6,37.1
232.0,7.7,35.3
458.0,7.7,36.4
565.0,8.3,23.1
690.0,8.1,16.9
477.0,7.8,88.3
571.0,8.4,24.6
211.0,7.9,61.5
198.0,7.8,50.9
221.0,7.8,88.6
169.0,7.8,58.6
181.0,7.3,35.4
176.0,7.3,277.0
261.0,8.2,34.1
178.5,7.8,34.5
228.9,8.32,32.5
229.5,7.77,31.6
232.3,7.33,9.1
284.8,7.9,30.4
188.6,7.63,40.8
228.6,8.08,45.2
198.1,7.99,45.9
172.5,7.66,33.3
206.4,7.99,24.5
232.1,7.41,11.5
219.8,7.6,16.7
206.4,8.02,19.4
197.2,7.86,15.5
207.1,7.9,13.9
216.4,7.69,18.7
234.5,8.09,15.1
283.1,7.82,15.3
252.5,7.54,15.5
237.8,7.37,16.8
292.4,8.09,10.5
145.0,7.38,523.0
108.6,7.18,841.0
395.5,7.38,301.0
405.0,7.9,78.0
426.0,7.45,74.7
571.0,6.69,29.9
574.0,8.14,46.6
554.0,9.33,30.5
565.0,6.82,30.0
285.0,8.49,91.5
292.0,7.88,54.1
355.3,7.93,83.0
221.7,7.99,88.0
289.3,8.12,755.0
361.1,7.46,36.0
449.4,7.9,37.0
407.3,8.62,31.9
480.0,8.1,13.6
430.0,7.9,29.8
160.0,7.5,573.0
380.0,8.6,8.6
490.0,8.3,15.9
610.0,8.3,21.0
174.0,8.0,34.0
159.0,7.7,31.8
232.0,7.8,29.4
532.0,8.3,33.5
606.0,8.4,25.1
694.0,8.3,9.7
481.0,8.1,54.6
625.0,8.3,22.1
217.0,8.0,42.5
191.0,8.2,34.9
215.0,8.1,70.0
169.0,8.0,46.8
184.0,8.2,29.3
205.0,8.1,306.0
365.0,8.0,44.8
181.3,8.18,23.0
288.5,8.07,12.5
423.7,8.09,13.4
201.5,8.04,25.0
224.5,7.92,22.3
189.9,8.02,27.9
224.9,8.27,22.9
191.4,8.11,30.9
171.9,7.93,23.7
212.2,8.53,17.3
228.9,8.09,17.8
246.5,7.95,6.11
279.1,7.96,11.4
277.7,8.28,9.51
386.5,8.18,13.4
235.9,7.75,410.0
312.9,7.78,270.0
388.1,7.96,319.0
427.0,8.25,38.6
515.0,8.18,27.8
548.0,6.56,36.1
562.0,8.45,50.0
299.8,9.33,40.4
524.0,8.26,37.0
328.7,8.23,96.5
445.2,8.08,53.4
389.3,8.13,82.0
239.5,7.97,74.0
252.4,7.99,740.0
554.0,8.69,12.0
624.0,7.99,19.0
737.0,8.42,10.9
180.0,7.3,21.4
170.0,7.7,27.1
160.0,6.9,17.7
180.0,7.9,7.0
171.6,7.6,11.1
278.0,8.1,5.9
305.0,8.3,8.3
243.0,8.0,4.4
211.0,7.8,11.2
215.0,7.2,5.8
285.0,8.2,4.1
202.0,7.8,18.2
257.0,8.3,7.9
338.0,8.4,4.6
331.0,7.9,13.9
269.0,8.2,7.2
351.0,7.9,5.2
137.0,7.5,20.5
177.0,7.4,8.5
326.0,7.7,4.0
338.0,8.1,2.4
337.0,7.93,2.11
352.1,7.52,1.65
374.9,7.93,4.22
528.0,7.53,2.69
350.3,7.67,4.66
476.2,8.39,11.8
374.8,8.11,5.02
415.4,7.95,6.98
481.0,8.56,5.49
472.2,8.68,6.6
520.0,7.93,4.47
536.0,7.21,5.82
556.0,7.32,7.18
580.0,7.9,4.67
616.0,8.5,1.38
728.0,8.69,2.86
828.0,8.96,3.24
384.9,7.29,32.6
190.4,7.79,28.4
219.5,7.63,18.0
180.1,6.39,19.0
235.1,7.32,17.4
173.3,7.55,26.4
205.8,7.68,4.56
183.3,7.27,16.3
213.1,7.74,5.04
257.3,7.72,4.01
279.2,8.2,2.33
334.7,7.76,5.02
173.2,7.54,9.08
278.9,7.87,11.2
148.6,7.14,17.3
208.7,7.52,9.75
255.2,7.72,4.27
268.2,7.95,5.49
420.0,8.3,20.3
400.0,8.2,25.9
230.0,7.8,112.0
420.0,8.4,6.3
560.0,8.2,7.4
260.0,7.8,22.2
160.0,7.9,17.4
151.0,7.6,14.5
351.0,7.7,34.1
559.0,7.6,10.5
672.0,8.5,9.4
651.0,8.2,6.3
588.0,8.2,19.3
669.0,8.2,14.2
328.0,7.9,24.5
205.0,7.9,22.4
177.0,8.0,16.0
166.0,8.0,17.8
183.0,7.8,8.3
409.0,8.0,18.0
503.0,8.1,13.6
166.7,8.28,5.48
392.5,8.0,8.85
583.0,8.28,9.19
192.1,8.16,9.38
210.9,7.92,11.4
172.0,8.07,54.9
232.9,8.64,9.02
178.8,7.91,12.4
163.6,7.75,11.2
206.4,9.01,6.32
387.3,8.19,10.4
386.7,8.17,9.36
180.3,8.41,4.64
196.3,8.17,4.72
311.1,8.16,4.42
467.5,8.57,5.91
612.0,8.25,6.64
390.7,7.98,83.4
199.3,7.8,11.3
274.2,8.11,126.0
206.2,8.07,41.2
645.0,8.21,66.6
347.4,7.6,332.0
378.1,7.91,298.0
532.0,7.8,64.3
396.2,8.33,87.5
430.2,9.01,57.3
488.6,9.69,63.0
330.1,8.15,85.3
192.2,7.71,71.3
339.6,8.18,118.0
226.5,8.21,36.0
229.2,8.0,478.0
545.0,8.26,5.71
642.0,7.99,4.12
701.0,7.99,11.9
230.0,7.4,11.3
250.0,7.6,17.0
200.0,7.4,14.5
250.0,8.0,4.4
228.8,7.9,3.8
410.0,8.0,2.9
406.0,8.1,10.2
181.0,8.3,33.7
277.0,8.1,5.0
356.0,7.0,4.3
364.0,8.0,4.3
278.0,8.0,7.4
342.0,8.2,5.2
473.0,8.3,2.9
369.0,8.0,7.7
287.0,8.2,3.3
454.0,7.6,5.6
179.0,7.6,12.5
324.0,6.9,3.1
356.0,6.76,6.81
550.0,7.51,3.28
607.0,7.85,3.07
331.2,7.83,28.0
495.1,7.69,3.25
404.8,6.94,14.2
421.8,7.87,7.02
455.7,7.74,2.93
358.2,7.12,18.4
243.9,7.74,50.2
343.8,6.6,6.84
253.7,6.32,4.14
328.7,7.45,5.23
353.1,7.7,5.01
350.8,7.78,4.21
212.4,7.53,13.7
339.2,7.91,3.49
403.7,7.45,5.47
415.5,7.85,6.02
477.9,7.77,14.1
241.2,7.63,6.27
386.3,7.39,10.3
218.3,7.4,10.9
296.8,7.19,4.92
403.5,6.78,4.34
417.5,8.03,13.6
270.0,7.8,190.0
290.0,7.9,244.0
230.0,7.6,2400.0
270.0,7.4,489.0
480.0,7.7,122.0
590.0,7.6,54.7
317.0,7.3,209.0
