Conductivity,pH,Turbidity,quality
440.0,7.8,21.7,bad
500.0,8.5,16.9,bad
180.0,7.3,295.0,bad
390.0,8.1,28.1,bad
480.0,8.4,29.7,bad
590.0,8.4,21.8,bad
173.0,7.7,56.4,bad
158.0,7.6,37.1,bad
232.0,7.7,35.3,bad
458.0,7.7,36.4,bad
565.0,8.3,23.1,bad
690.0,8.1,16.9,bad
477.0,7.8,88.3,bad
571.0,8.4,24.6,bad
211.0,7.9,61.5,bad
198.0,7.8,50.9,bad
221.0,7.8,88.6,bad
169.0,7.8,58.6,bad
181.0,7.3,35.4,bad
176.0,7.3,277.0,bad
261.0,8.2,34.1,bad
228.9,8.32,32.5,bad
229.5,7.77,31.6,bad
232.3,7.33,9.1,bad
284.8,7.9,30.4,bad
188.6,7.63,40.8,bad
228.6,8.08,45.2,bad
198.1,7.99,45.9,bad
172.5,7.66,33.3,bad
206.4,7.99,24.5,bad
232.1,7.41,11.5,bad
219.8,7.6,16.7,bad
206.4,8.02,19.4,bad
197.2,7.86,15.5,bad
207.1,7.9,13.9,bad
216.4,7.69,18.7,bad
234.5,8.09,15.1,bad
283.1,7.82,15.3,bad
252.5,7.54,15.5,bad
237.8,7.37,16.8,bad
292.4,8.09,10.5,bad
145.0,7.38,523.0,bad
108.6,7.18,841.0,bad
395.5,7.38,301.0,bad
405.0,7.9,78.0,bad
426.0,7.45,74.7,bad
571.0,6.69,29.9,bad
574.0,8.14,46.6,bad
554.0,9.33,30.5,bad
565.0,6.82,30.0,bad
285.0,8.49,91.5,bad
292.0,7.88,54.1,bad
355.3,7.93,83.0,bad
221.7,7.99,88.0,bad
289.3,8.12,755.0,bad
361.1,7.46,36.0,bad
449.4,7.9,37.0,bad
407.3,8.62,31.9,bad
480.0,8.1,13.6,bad
430.0,7.9,29.8,bad
160.0,7.5,573.0,bad
380.0,8.6,8.6,bad
490.0,8.3,15.9,bad
610.0,8.3,21.0,bad
174.0,8.0,34.0,bad
159.0,7.7,31.8,bad
232.0,7.8,29.4,bad
532.0,8.3,33.5,bad
606.0,8.4,25.1,bad
694.0,8.3,9.7,bad
481.0,8.1,54.6,bad
625.0,8.3,22.1,bad
217.0,8.0,42.5,bad
191.0,8.2,34.9,bad
215.0,8.1,70.0,bad
169.0,8.0,46.8,bad
184.0,8.2,29.3,bad
205.0,8.1,306.0,bad
365.0,8.0,44.8,bad
288.5,8.07,12.5,bad
423.7,8.09,13.4,bad
201.5,8.04,25.0,bad
224.5,7.92,22.3,bad
189.9,8.02,27.9,bad
224.9,8.27,22.9,bad
191.4,8.11,30.9,bad
171.9,7.93,23.7,bad
212.2,8.53,17.3,bad
228.9,8.09,17.8,bad
246.5,7.95,6.11,bad
279.1,7.96,11.4,bad
277.7,8.28,9.51,bad
386.5,8.18,13.4,bad
235.9,7.75,410.0,bad
312.9,7.78,270.0,bad
388.1,7.96,319.0,bad
427.0,8.25,38.6,bad
515.0,8.18,27.8,bad
548.0,6.56,36.1,bad
562.0,8.45,50.0,bad
299.8,9.33,40.4,bad
524.0,8.26,37.0,bad
328.7,8.23,96.5,bad
445.2,8.08,53.4,bad
389.3,8.13,82.0,bad
239.5,7.97,74.0,bad
252.4,7.99,740.0,bad
554.0,8.69,12.0,bad
624.0,7.99,19.0,bad
737.0,8.42,10.9,bad
180.0,7.3,21.4,bad
170.0,7.7,27.1,bad
